Road_Name,Road_Type,County_Name
St. Michaels Apatit Secondary Road C,unclassified,Busia
St. Michaels Apatit Secondary Village Path 6,service,Busia
St. Michaels Apatit Secondary Village Path 8,service,Busia
St. Michaels Apatit Secondary Road A,unclassified,Busia
Apgei Village Path A,unclassified,Busia
Fr. Okodoi Village Path H,unclassified,Busia
Fr. Okodoi Village Path F,path,Busia
Fr. Okodoa Vilage Path A,path,Busia
Fr. Okodoi Village Path C,path,Busia
Fr. Okodoi Path B,path,Busia
Fr. Okodoi Village Path D,path,Busia
Okwata Market Main Road,unclassified,Busia
Flame Tree Av,unclassified,Kilifi
Flame Tree Av,unclassified,Kilifi
ubarini gitongo route,unclassified,Tharaka-Nithi
Buhuyi- Lugulu Road,unclassified,Busia
Migori-Nyarongi Road,tertiary,Migori
Olkuleu Road A,unclassified,Busia
Okame Secondary Road B,tertiary,Busia
Okame Secondary Road A,unclassified,Busia
Okame Secondary Village Path B,unclassified,Busia
Road to Lela,tertiary,Migori
Road to Lela,tertiary,Migori
Okwata Market Road A,unclassified,Busia
Okwata Market Village Path C,path,Busia
Okwata Market Road A,unclassified,Busia
Amoni Borehole Village Path 4,unclassified,Busia
Amoni Borehole Village Path1 A,path,Busia
Dedan Road,residential,Kajiado
Bhanderi Road,residential,Nairobi
Kenyatta Highway,unclassified,Kiambu
Upper Road,unclassified,Kiambu
Uhuru Street,residential,Kiambu
Uhuru Street,residential,Kiambu
Kenyatta Highway,unclassified,Kiambu
Naivasha Road,secondary,Nairobi
Kapenguria Road,tertiary,Nairobi
Murang'a Road,secondary,Nairobi
Marsabit-Moyale Road,trunk,Marsabit
Marsabit-Moyale Road,trunk,Marsabit
Marsabit-Moyale Road,trunk,Marsabit
Gituamba Road,residential,Nairobi
Kambi Ng'amba Road,residential,Kiambu
Quarry Road,residential,Kiambu
Ng'amba Kanyayo Road,residential,Kiambu
Kikuyu Ng'amba Road,unclassified,Kiambu
Mkoko Close,residential,Nairobi
Miriri-Tombe Road,tertiary,Nyamira
Mountain Park Road,residential,Nakuru
